,,,,,,,,,,,,,,,COMPOSITION OF GOVERNMENT DEBT,,,,,,,,,,,,,,,
Year,Month,Repo Rate,Reverse Repo Rate,Interbank Rate,Cash Reserve Requirement Rate,Central Bank Rate,North America Diaspora Remittances  (USD '000),Europe Diaspora Remittances  (USD '000),Rest of World Diaspora Remittances  (USD '000),Not Allocated (USD '000),Commercial Banks Weighted Average Deposit Rate,Commercial Banks Weighted Average Savings Rate,Commercial Banks Weighted Average Lending Rate,Commercial Banks Weighted Average Overdraft Rate,Treasury Bills* (shillings million),Treasury Bonds (shillings million),Government Stocks (shillings million),Overdraft at Central Bank (shillings million),Advances from Commercial Banks (shillings million),Other Domestic Debt** (shillings million),External Debt (shillings million),Average Annual Inflation Rate,Nairobi Upper Income Inflation Rate,Nairobi Middle Income Inflation Rate,Nairobi Lower Income Inflation Rate,Rest of Kenya Inflation Rate,Consumer Price Index,Real Estate Growth (shillings million - Annual),Nominal Annual GDP (shillings million - Annual),Annual GDP Rate
1991,July,-,-,,-,-,,,,,13.5,12.97,16.71,16.15,,,,,,,,,,,,,7.13,,,
1991,August,-,-,,-,-,,,,,13.59,13.24,16.42,13.79,,,,,,,,,,,,,7.16,,,
1991,September,-,-,,-,-,,,,,13.49,13.1,17.26,16.95,,,,,,,,,,,,,7.34,,,
1991,October,-,-,,,,,,,,13.47,13.3,17.78,17.53,,,,,,,,,,,,,7.35,,,
1991,November,-,-,,,,,,,,13.7,13.37,17.94,18,,,,,,,,,,,,,7.4,,,
1991,December,-,-,,,,,,,,13.73,13.22,17.87,17.91,,,,,,,,,,,,,7.44,,,
1992,January,-,-,,,,,,,,13.71,13.18,17.13,15.05,,,,,,,,,,,,,7.57,,,
1992,February,-,-,,,,,,,,13.83,13.3,17.61,16.37,,,,,,,,,,,,,7.64,,,
1992,March,-,-,,,,,,,,13.85,13.45,18.12,18.47,,,,,,,,,,,,,8.31,,,
1992,April,-,-,,,,,,,,13.76,13.38,17.37,15.3,,,,,,,,,,,,,8.38,,,
1992,May,-,-,,,,,,,,13.66,13.16,18.53,18.81,,,,,,,,,,,,,8.65,,,
1992,June,-,-,,,,,,,,13.65,13.43,18.54,18.7,,,,,,,,,,,,,9.54,,,
1992,July,-,-,,,,,,,,13.61,13.5,18.68,18.95,,,,,,,,,,,,,9.43,,,
1992,August,-,-,,,,,,,,13.61,13.4,18.62,19.02,,,,,,,,,,,,,9.47,,,
1992,September,-,-,,,,,,,,13.81,13.47,18.95,19.07,,,,,,,,,,,,,9.63,,,
1992,October,-,-,,,,,,,,14.23,13.41,19.47,19.73,,,,,,,,,,,,,9.51,,,
1992,November,-,-,,,,,,,,14.29,13.28,19.15,19.64,,,,,,,,,,,,,9.66,,,
1992,December,-,-,,,,,,,,14.39,13.23,19.51,19.76,,,,,,,,,,,,,9.94,,,
1993,January,-,-,,,,,,,,14.24,13.15,19.57,19.75,,,,,,,,,,,,,10.01,,,
1993,February,-,-,,,,,,,,14.25,13.28,19.7,19.86,,,,,,,,,,,,,10.81,,,
1993,March,-,-,,,,,,,,14.45,13.19,19.82,19.96,,,,,,,,,,,,,11.15,,,
1993,April,-,-,,,,,,,,15.32,14.38,20.77,21.35,,,,,,,,,,,,,11.91,,,
1993,May,-,-,,,,,,,,15.49,13.34,24.16,24.2,,,,,,,,,,,,,12.34,,,
1993,June,-,-,,,,,,,,17.28,13.43,24.51,25.28,,,,,,,,,,,,,13.28,,,
1993,July,-,-,,,,,,,,18.47,14.22,25.45,26.73,,,,,,,,,,,,,13.52,,,
1993,August,-,-,,,,,,,,22.51,14.81,26.37,27.73,,,,,,,,,,,,,13.98,,,
1993,September,-,-,,,,,,,,23.03,15.45,27.04,28.27,,,,,,,,,,,,,14.82,,,
1993,October,-,-,,,,,,,,23.04,16.51,30.06,32.23,,,,,,,,,,,,,14.97,,,
1993,November,-,-,,,,,,,,23.43,17.28,30.81,32.86,,,,,,,,,,,,,15.13,,,
1993,December,-,-,,,,,,,,22.36,17.37,31.64,33.5,,,,,,,,,,,,,15.38,,,
1994,January,-,-,,,,,,,,23.27,18.62,32.18,33.31,,,,,,,,,,,,,16.16,,,
1994,February,-,-,,,,,,,,20.84,18.4,32.16,33.24,,,,,,,,,,,,,16.68,,,
1994,March,-,-,,,,,,,,19.98,17.46,30.68,32.62,,,,,,,,,,,,,17.13,,,
1994,April,-,-,,,,,,,,18.61,18,32.28,33.28,,,,,,,,,,,,,17.59,,,
1994,May,-,-,,,,,,,,17.76,17.44,30.97,32.3,,,,,,,,,,,,,17.41,,,
1994,June,-,-,,,,,,,,17.42,16.11,31.49,33.17,,,,,,,,,,,,,17.09,,,
1994,July,-,-,,,,,,,,16.69,15.07,32.17,32.94,,,,,,,,,,,,,17.22,,,
1994,August,-,-,,,,,,,,16.67,15.07,32.18,32.94,,,,,,,,,,,,,16.99,,,
1994,September,-,-,,,,,,,,16.76,14.97,31.37,32.66,,,,,,,,,,,,,16.73,,,
1994,October,-,-,,,,,,,,15.11,13.9,29.21,29.76,,,,,,,,,,,,,16.81,,,
1994,November,-,-,,,,,,,,14.05,12.4,25.96,26.98,,,,,,,,,,,,,16.41,,,
1994,December,-,-,,,,,,,,13.05,12.15,25.91,26.87,,,,,,,,,,,,,16.4,,,
1995,January,-,-,,,,,,,,12.2,12.16,25.24,26.03,,,,,,,,,,,,,16.74,,,
1995,February,-,-,,,,,,,,12.08,11.81,24.09,24,,,,,,,,,,,,,16.91,,,
1995,March,-,-,,,,,,,,11.3,11.66,23.61,23.33,,,,,,,,,,,,,17.01,,,
1995,April,-,-,,,,,,,,10.83,9.21,23.32,22.78,,,,,,,,,,,,,16.95,,,
1995,May,-,-,,,,,,,,9.81,9.08,23.09,22.61,,,,,,,,,,,,,17.09,,,
1995,June,-,-,,,,,,,,10.13,9.31,23.32,23.08,,,,,,,,,,,,,17.12,,,
1995,July,-,-,,,,,,,,10.32,9.07,22.96,23.04,,,,,,,,,,,,,17.12,,,
1995,August,-,-,,,,,,,,11.9,8.96,24.72,24.64,,,,,,,,,,,,,17.21,,,
1995,September,-,-,,,,,,,,11.8,9.22,26.19,25.91,,,,,,,,,,,,,17.4,,,
1995,October,-,-,,,,,,,,11.97,9.13,26.43,26.44,,,,,,,,,,,,,17.37,,,
1995,November,-,-,,,,,,,,12.46,9.26,28.38,28.57,,,,,,,,,,,,,17.32,,,
1995,December,-,-,,,,,,,,12.77,9.49,28.99,29.23,,,,,,,,,,,,,17.53,,,
1996,January,-,-,,,,,,,,13.33,9.64,27.81,27.94,,,,,,,,,,,,,17.73,,,
1996,February,-,-,,,,,,,,13.62,9.7,27.79,27.97,,,,,,,,,,,,,17.81,,,
1996,March,-,-,,,,,,,,13.89,10.18,28.06,28.42,,,,,,,,,,,,,18.1,,,
1996,April,-,-,,,,,,,,14.23,10.06,27.99,28.53,,,,,,,,,,,,,18.16,,,
1996,May,-,-,,,,,,,,14.19,10.65,28.06,28.39,,,,,,,,,,,,,18.29,,,
1996,June,-,-,,,,,,,,14.17,10.74,28.34,28.54,,,,,,,,,,,,,18.76,,,
1996,July,-,-,,,,,,,,14.05,10.67,28.15,27.87,,,,,,,,,,,,,19.02,,,
1996,August,-,-,,,,,,,,13.9,10.55,28.17,27.99,,,,,,,,,,,,,19.08,,,
1996,September,23.63,-,,,,,,,,14.28,10.74,28.44,28.12,,,,,,,,,,,,,19.18,,,
1996,October,22.17,-,,,,,,,,14.19,10.78,28.78,28.91,,,,,,,,,,,,,19.22,,,
1996,November,19.71,-,,,,,,,,14.29,10.97,28.7,28.87,,,,,,,,,,,,,19.26,,,
1996,December,18.85,-,,,,,,,,14.65,11.22,28.58,28.9,,,,,,,,,,,,,19.4,,,
1997,January,16.35,-,,,,,,,,14.54,10.91,28.81,28.71,,,,,,,,,,,,,19.68,,,
1997,February,12.29,-,,,,,,,,14.47,10.87,28.6,28.43,,,,,,,,,,,,,19.96,,,
1997,March,13,-,,,,,,,,14.33,10.88,28.57,28.46,,,,,,,,,,,,,20.97,,,
1997,April,10.54,-,,,,,,,,14.24,10.99,28.57,28.16,,,,,,,,,,,,,21.12,,,
1997,May,12.5,-,,,,,,,,14.95,12.43,27.26,28.78,,,,,,,,,,,,,21.47,,,
1997,June,10.23,-,,,,,,,,13.89,10.59,27.49,28.52,,,,,,,,,,,,,21.19,,,
1997,July,-,-,,,,,,,,14.11,10.79,26.86,27.72,,,,,,,,,,,,,20.73,,,
1997,August,-,-,,,,,,,,14.06,10.82,26.48,27.37,,,,,,,,,,,,,20.59,,,
1997,September,-,-,,,,,,,,14.53,10.71,28.21,28.96,,,,,,,,,,,,,20.9,,,
1997,October,-,-,,,,,,,,15.21,10.92,29.07,29.66,,,,,,,,,,,,,20.73,,,
1997,November,-,-,,,,,,,,15.88,10.19,29.8,30.25,,,,,,,,,,,,,20.73,,,
1997,December,-,-,,,,,,,,16.02,9.73,29.85,30.4,,,,,,,,,,,,,21.3,,,
1998,January,23.97,-,,,,,,,,15.94,9.77,29.81,30.43,,,,,,,,,,,,,21.99,,,
1998,February,-,-,,,,,,,,15.88,9.77,29.9,30.43,,,,,,,,,,,,,21.84,,,
1998,March,23.55,-,,,,,,,,15.89,9.8,30.2,30.81,,,,,,,,,,,,,21.8,,,
1998,April,-,-,,,,,,,,18.37,10.81,30.41,29.28,,,,,,,,,,,,,21.76,,,
1998,May,-,-,,,,,,,,17.85,11.23,30.54,30.69,,,,,,,,,,,,,21.78,,,
1998,June,-,-,,,,,,,,16.87,12.27,30.46,30.74,,,,,,,,,,,,,22.14,,,
1998,July,24.5,-,,,,,,,,16.67,11.56,30.37,30.69,,,,,,,,,,,,,22.3,,,
1998,August,-,-,,,,,,,,16.35,10.81,29.77,30.59,,,,,,,,,,,,,22.24,,,
1998,September,22.58,-,,,,,,,,15.96,10.46,29.08,29.76,,,,,,,,,,,,,21.96,,,
1998,October,20,-,,,,,,,,15.39,9.74,28.99,29.58,,,,,,,,,,,,,21.74,,,
1998,November,17.25,-,,,,,,,,14.67,9.57,28.19,28.84,,,,,,,,,,,,,21.61,,,
1998,December,10.65,-,,,,,,,,12.99,7.96,26.16,26.66,,,,,,,,,,,,,21.72,,,
1999,January,10.43,-,,,,,,,,11.25,6.54,23.67,23.88,,,,,,,,,,,,,21.89,,,
1999,February,8.55,-,,,,,,,,9.66,5.93,22.83,22.94,,,,,,,,,,,,,22.17,,,
1999,March,-,-,,,,,,,,8.93,5.49,21.36,21.07,,,,,,,,,,,,,22.45,,,
1999,April,9,-,,,,,,,,8.18,5.14,20.9,20.9,,,,,,,,,,,,,22.58,,,
1999,May,8.55,-,,,,,,,,7.55,4.52,20.86,20.81,,,,,,,,,,,,,23.04,,,
1999,June,11.44,-,,,,,,,,7.83,4.57,20.7,20.86,,,,,,,,,,,,,23.25,,,
1999,July,13.72,-,,,,,,,,7.65,5.15,21.12,21.02,,,,,,,,,,,,,23.46,,,
1999,August,14.15,-,,,,,,,,7.79,4.81,21.93,21.95,,,,,,,,,,,,,23.72,,,
1999,September,16.45,-,,,,,,,,8.44,5.35,22.45,22.48,"115,068.55","27,886.19","3,430.28","6,787.60","2,885.37","27,359.01","320,137.00",,,,,,23.8,,,
1999,October,17.07,-,,,,,,,,9.1,5.72,23.12,23.14,,,,,,,,,,,,,23.79,,,
1999,November,17.52,-,,,,,,,,9.48,6.04,24.43,24.79,,,,,,,,,,,,,23.92,,,
1999,December,16.62,-,,,,,,,,9.74,6.15,25.19,25.58,"121,658.53","28,427.98","3,005.92","6,664.38","2,899.89","27,643.30","311,953.00",,,,,,24,,,
2000,January,17.76,-,,,,,,,,10.38,6.42,25.14,25.91,,,,,,,,,,,,,24,,,
2000,February,12.63,-,,,,,,,,9.17,6.04,25.39,25.67,,,,,,,,,,,,,23.84,,,
2000,March,9.11,-,,,,,,,,8.01,5.14,23.76,24.09,"131,224.49","33,477.49","3,005.92","6,662.98","2,654.36","24,437.99","396,800.00",,,,,,23.77,,,
2000,April,9.85,-,,,,,,,,7.61,5.3,23.44,24,,,,,,,,,,,,,24.2,,,
2000,May,10.09,-,,,,,,,,7.21,4.77,23.4,23.93,,,,,,,,,,,,,25.02,,,
2000,June,9.85,-,,,,,,,,7.01,4.89,23.11,22.86,"131,029.45","36,851.07","3,005.92","6,528.95","2,608.57","26,103.04","395,694.00",,,,,,25.86,,,
2000,July,9.61,-,,,,,,,,6.67,4.71,22.39,22.09,"132,167.45","39,650.79","3,005.92","5,802.95","2,458.81","19,276.08","394,667.37",,,,,,26.15,,,
2000,August,9.37,-,,,,,,,,6.26,4.53,21.23,20.93,"129,982.70","39,292.68","3,005.92","6,281.82","2,511.76","15,509.12","395,710.06",,,,,,26.4,,,
2000,September,10.26,-,,,,,,,,6.22,4.36,20.57,20.58,"131,672.70","37,187.28","3,005.92","5,839.36","2,566.12","15,248.61","399,798.72",,,,,,26.56,,,
2000,October,10.16,-,,,,,,,,6.22,4.31,20.22,19.94,"132,503.45","36,881.13","1,905.92","5,875.78","2,618.20","15,779.52","400,203.03",,,,,,26.47,,,
2000,November,10.95,-,,,,,,,,6.2,4.36,19.79,20.1,"133,260.45","36,877.03","1,905.92","5,838.47","2,665.54","15,358.59","400,714.45",,,,,,26.7,,,
2000,December,12.26,-,,,,,,,,6.22,4.51,19.6,19.73,"132,660.35","34,114.71","1,905.92","5,838.47","2,432.31","15,713.54","405,355.31",,,,,,26.83,,"967,838",0
2001,January,14.47,-,11.84,10,,,,,,6.54,4.67,20.27,20.18,"134,273.85","32,375.96","1,468.22","7,397.47","2,253.95","15,563.50","403,645.68",,,,,,26.87,,,
2001,February,14.92,-,11.95,10,,,,,,6.55,4.63,20.13,20.48,"139,593.30","33,144.26","1,468.22","7,324.64","2,286.02","15,720.82","402,555.40",,,,,,26.26,,,
2001,March,14.75,-,9.3,10,,,,,,6.92,4.66,20.19,20.12,"139,008.45","34,560.28","1,468.22","7,324.64","2,320.63","15,940.35","403,373.54",,,,,,26.02,,,
2001,April,11.75,-,8.53,10,,,,,,6.58,4.64,19.56,19.89,"137,502.95","36,374.69","1,468.22","5,775.64","2,289.28","27,170.67","402,308.31",,,,,,26.41,,,
2001,May,11.14,-,10.85,10,,,,,,6.44,4.42,19.2,19.52,"134,767.60","40,786.60","1,468.22","2,156.64","2,179.56","21,522.26","408,100.64",,,,,,26.76,,,
2001,June,11.92,-,10.71,10,,,,,,6.36,4.39,19.26,19.65,"137,540.05","44,499.24","1,468.22","2,861.85","2,207.72","23,235.52","393,978.00",,,,,,27.05,,,
2001,July,12.37,-,10.78,10,,,,,,6.22,4.34,19.71,19.98,"140,249.65","49,108.67","1,468.22","1,514.60","2,034.37","10,636.49","393,491.36",,,,,,27.27,,,
2001,August,12.44,-,11.98,10,,,,,,6.24,4.43,19.54,19.71,"144,458.60","55,940.93","1,468.22",500.85,"2,063.91","10,334.49","392,335.83",,,,,,27.46,,,
2001,September,11.52,-,10.67,10,,,,,,6.27,4.89,19.44,19.63,"143,838.85","60,460.33","1,468.22",500.85,"2,092.29","10,804.45","392,052.74",,,,,,27.38,,,
2001,October,11.16,-,10.45,10,,,,,,6.21,4.37,19.77,19.8,"137,764.75","71,056.86","1,468.22",0,"2,121.97","13,540.20","389,276.05",,,,,,27.32,,,
2001,November,11.16,-,10.13,10,,,,,,5.87,4.35,19.44,19.83,"132,115.55","71,052.63","1,468.22",0,"2,151.13","10,736.48","386,971.92",,,,,,27.28,,,
2001,December,11.05,-,10.42,10,,,,,,5.7,4.4,19.49,20.04,"123,802.55","80,327.61","1,468.22",0,"2,431.40","13,954.22","384,302.58",,,,,,27.26,,"1,020,022",3.8
2002,January,10.81,-,10.29,10,,,,,,5.72,4.42,19.3,19.31,"120,095.20","87,989.86","1,468.22",0,"2,456.93","10,700.78","382,302.84",,,,,,26.99,,,
2002,February,10.51,-,9.79,10,,,,,,5.52,3.54,19.18,19.19,"120,784.05","92,040.56","1,468.22",0,"2,485.77","10,802.40","381,497.47",,,,,,26.58,,,
2002,March,10.19,-,10.05,10,,,,,,5.42,3.71,18.86,18.78,"121,338.50","92,679.11","1,468.22",0,"2,718.87","10,962.29","380,169.06",,,,,,26.55,,,
2002,April,10.07,-,9.64,10,,,,,,5.48,4.12,18.69,18.88,"119,203.60","98,164.78","1,468.22",0,"3,351.86","10,960.54","378,475.98",,,,,,26.63,,,
2002,May,9.12,-,8.54,10,,,,,,5.31,4.02,18.54,18.73,"116,548.05","105,186.53","1,468.22",490.1,"3,440.91","4,639.19","378,594.34",,,,,,27.22,,,
2002,June,8.11,-,8.19,10,,,,,,5.21,4,18.38,18.46,"118,050.00","106,332.99","1,468.22",0,"3,486.54","6,653.24","377,748.00",,,,,,27.82,,,
2002,July,8.2,-,7.63,10,,,,,,5.08,3.89,18.12,18.32,"120,509.80","110,440.77","1,468.22","4,424.94","3,509.91","1,748.41","376,712.94",,,,,,27.84,,,
2002,August,8.2,-,8.25,10,,,,,,4.99,3.74,18.12,18.56,"119,662.70","109,812.28","1,468.22","8,094.16","3,514.01","4,617.61","376,868.51",,,,,,27.96,,,
2002,September,7.56,-,7.29,10,,,,,,4.8,3.53,18.14,18.52,"119,589.65","116,220.43","1,468.22","2,952.19","3,502.43","7,075.68","375,034.19",,,,,,27.86,,,
2002,October,7.84,-,8.3,10,,,,,,4.66,3.79,18.34,18.89,"116,273.20","119,526.45","1,468.22","5,849.58","3,114.46","4,964.75","373,140.09",,,,,,27.84,,,
2002,November,7.91,-,8.12,10,,,,,,4.75,3.81,18.05,18.56,"114,655.55","127,112.01","1,468.22","1,130.12","3,354.19","7,472.56","371,334.71",,,,,,27.98,,,
2002,December,8.14,-,8.69,10,,,,,,4.75,3.47,18.34,18.56,"107,010.70","130,483.63","1,468.22","4,165.69","3,121.98","13,578.01","369,729.83",,,,,,28.42,,"1,035,374",0.5
2003,January,8.17,-,9.04,10,,,,,,4.68,3.41,19.02,18.52,"105,820.15","128,113.27","1,468.22","7,798.83","3,174.83","17,611.03","369,051.09",,,,,,28.71,,,
2003,February,7.17,-,7.06,10,,,,,,4.4,3.42,18.83,17.81,"111,829.90","134,998.72","1,057.98","4,889.71","3,223.03","8,193.87","367,469.40",,,,,,28.56,,,
2003,March,6.23,-,6.22,10,,,,,,3.99,3.28,18.49,17.26,"109,240.30","139,524.48","1,057.98","8,162.42","3,277.55","9,453.55","364,904.26",,,,,,29.24,,,
2003,April,5.94,-,5.88,10,,,,,,4.06,3.27,18.57,17.27,"107,781.60","147,825.09","1,057.98","7,697.51","3,862.33","7,858.94","363,605.43",,,,,,29.73,,,
2003,May,5.5,-,5.67,10,,,,,,3.71,3.14,18.52,17.18,"109,124.20","155,559.20","1,057.98","4,966.02","2,713.62","7,507.96","361,731.20",,,,,,31.27,,,
2003,June,0.84,-,1.62,6,,,,,,4.84,3.07,15.73,14.93,"105,744.00","161,549.06","1,057.98","4,318.91","2,685.18","14,021.83","407,053.00",,,,,,31.65,,,
2003,July,0.78,-,0.45,6,,,,,,4.49,1.79,15.3,14.43,"104,266.80","164,976.97","1,057.98","8,000.00","2,984.54","10,991.18","398,532.85",,,,,,30.88,,,
2003,August,0.48,-,0.43,6,,,,,,3.37,1.72,14.81,14.96,"99,543.65","174,467.52","1,057.98","4,797.02","3,024.90","12,603.44","397,991.28",,,,,,30.27,,,
2003,September,0.47,-,0.54,6,,,,,,3.07,1.44,14.82,14.31,"100,322.20","182,409.52","1,057.98","3,808.92","3,049.44","12,604.00","411,067.00",,,,,,30.06,,,
2003,October,0.56,-,0.69,6,,,,,,3.13,1.43,14.75,14.13,"114,438.05","179,966.92","1,057.98","2,704.50","3,056.32",695.1977636,"409,359.85",,,,,,30.36,,,
2003,November,0.64,-,0.73,6,,,,,,3.32,1.44,14.07,14.02,"116,904.00","179,181.60","1,057.98","3,272.13","2,620.29",512.3988788,"406,592.25",,,,,,30.49,,,
2003,December,0.78,-,0.81,6,,,,,,3.29,1.38,13.47,13.74,"113,626.60","178,352.31","1,057.98","5,052.07","2,605.18",496.431807,"410,149.00",,,,,,30.79,,"1,131,783",2.9
2004,January,1.06,-,0.82,6,,0,0,0,"25,154.00",3.12,1.22,13.48,13.3,"108,042.05","180,485.23","1,057.98","6,970.79","2,640.41",504.7970705,"409,158.26",,,,,,31.34,,,
2004,February,1.13,-,0.9,6,,0,0,0,"27,676.00",2.47,1.47,13.01,12.3,"104,639.00","182,814.48","1,057.98","9,162.72","2,709.98",523.7488368,"407,417.62",,,,,,31.37,,,
2004,March,1.27,-,1.27,6,,0,0,0,"29,944.00",2.32,1.3,13.12,11.65,"102,764.60","187,536.25","1,057.98","7,327.45","2,740.67",596.6266584,"412,036.08",,,,,,31.67,,,
2004,April,1.56,-,1.72,6,,0,0,0,"27,773.00",1.96,1.24,12.67,11.08,"101,235.70","185,521.91","1,057.98","9,232.14","2,797.20","1,332.43","409,950.33",,,,,,31.98,,,
2004,May,1.56,-,2.05,6,,0,0,0,"26,931.00",2.22,1.15,12.55,10.79,"98,891.65","187,427.28","1,057.98","8,104.07","2,761.38","1,104.93","408,547.54",,,,,,32.73,,,
2004,June,1.29,-,1.29,6,,0,0,0,"30,047.00",2.2,1.15,12.17,10.72,"99,835.75","188,625.99","1,057.98","9,232.14","2,774.47","4,708.32","443,157.43",,,,,,33.53,,,
2004,July,1.49,-,1.52,6,,0,0,0,"33,187.00",2.25,1.1,12.31,11.1,"100,994.45","191,903.35","1,057.98","6,388.96","2,819.47",297.9048091,"444,611.00",,,,,,33.52,,,
2004,August,1.94,-,2.1,6,,0,0,0,"28,894.00",2.26,1.08,12.19,10.81,"97,582.60","192,820.75","1,057.98","7,091.54","2,853.07",272.3892736,"444,460.66",,,,,,35.06,,,
2004,September,2.5,-,2.95,6,,0,0,0,"28,894.00",2.63,1.03,12.27,10.95,"98,912.75","187,446.45","1,057.98","9,232.14","2,860.93",235.3268149,"454,438.56",,,,,,35.76,,,
2004,October,2.76,-,3.56,6,,0,0,0,"25,223.00",2.33,1.07,12.39,11.85,"102,397.05","185,310.04","1,057.98","9,232.14","2,945.44",598.6404918,"454,539.95",,,,,,35.92,,,
2004,November,4.95,-,4.66,6,,0,0,0,"25,473.00",2.66,1.3,11.97,12.21,"107,770.00","181,057.52","1,057.98","9,232.14","2,939.17",487.0977459,"454,664.42",,,,,,35.79,,,
2004,December,8.97,-,9.41,6,,0,0,0,"29,130.00",2.77,0.98,12.25,12.69,"100,656.40","180,867.11","1,057.98","9,232.14","3,007.21",553.5884681,"439,992.95",,,,,,36.05,,"1,274,328",5.1
2005,January,7.25,-,8.72,6,,0,0,0,"28,564.00",3.08,0.97,12.12,13.14,"95,927.70","181,103.13","1,057.98","9,232.14","3,033.59",868.1230856,"446,226.13",12.27,,,,,36,,,
2005,February,7.23,-,8.14,6,,0,0,0,"26,056.00",3.47,0.96,12.35,13.82,"95,350.55","182,748.93","1,057.98","8,534.74","3,090.32","1,444.82","445,544.58",12.6,,,,,35.74,,,
2005,March,7.26,-,8.13,6,,0,0,0,"31,219.00",3.75,0.98,12.84,14.03,"97,352.90","186,029.38","1,057.98","8,421.91","3,122.22",345.8188504,"424,857.08",13.07,,,,,36.15,,,
2005,April,7.28,-,8.28,6,,0,0,0,"29,216.00",3.91,1.1,13.12,14,"98,645.40","194,154.07","1,057.98","8,908.70","3,121.39","1,273.08","424,345.69",13.76,,,,,37.11,,,
2005,May,7.26,-,8.3,6,,0,0,0,"32,358.00",4.05,1.07,13.11,13.94,"99,930.60","192,583.01","1,057.98","7,694.45","3,256.47",453.137539,"423,476.45",14.61,,,,,37.57,,,
2005,June,7.34,-,7.37,6,,0,0,0,"34,360.00",4.21,1.24,13.09,13.83,"107,838.30","193,357.81","1,057.98","5,225.31","2,539.04","5,554.06","433,975.65",15.1,,,,,37.52,,,
2005,July,7.43,-,7.51,6,,0,0,0,"29,133.00",4.14,1.3,13.09,13.54,"113,460.20","198,255.76","1,057.98","8,344.18","2,555.60",353.6951946,"435,399.90",15.34,,,,,37.46,,,
2005,August,7.67,-,7.77,6,,0,0,0,"31,759.00",4.3,1.3,13.03,13.81,"115,053.10","200,463.56","1,057.98","6,139.33","2,321.00",345.565678,"434,850.69",14.53,,,,,37.46,,,
2005,September,7.77,-,8.03,6,,0,0,0,"31,616.00",4.35,1.34,12.83,13.5,"115,457.90","200,890.51","1,057.98","8,908.70","2,436.31",48.5757448,"418,860.33",13.24,,,,,37.29,,,
2005,October,7.8,-,7.98,6,,0,0,0,"33,037.00",4.43,1.32,12.97,13.56,"113,706.50","204,172.56","1,057.98","8,908.70","2,404.89","2,475.02","418,417.49",11.99,,,,,37.25,,,
2005,November,7.72,-,7.64,6,,0,0,0,"34,282.00",4.5,1.37,12.93,13.33,"113,349.05","206,980.30","1,057.98","8,908.70","2,559.33",646.1179766,"417,897.89",10.89,,,,,37.45,,,
2005,December,7.74,-,7.79,6,,0,0,0,"40,557.00",4.52,1.38,13.16,13.67,"113,336.75","209,424.84","1,057.98","8,908.70","2,068.12",205.4920437,"408,601.92",9.87,,,,,37.82,,"1,415,823",5.7
2006,January,7.81,-,7.78,6,,0,0,0,"31,506.00",4.48,1.33,13.2,13.81,"115,474.50","209,250.69","1,057.98","5,796.63","2,112.36",258.6612891,"407,544.63",9.36,,,,,38.93,,,
2006,February,7.78,-,7.73,6,,0,0,0,"30,283.00",4.48,1.36,13.27,13.34,"120,869.60","208,969.39","1,057.98","5,201.83","2,139.37",375.0556167,"407,132.44",9.01,,,,,38.92,,,
2006,March,7.5,-,7.52,6,,0,0,0,"36,354.00",4.28,1.34,13.33,13.26,"120,848.50","210,323.79","1,057.98","11,323.87","2,185.53",324.3670857,"407,003.71",8.61,,,,,39.14,,,
2006,April,6.78,-,6.97,6,,0,0,0,"35,369.00",4.35,1.33,13.51,13.81,"122,383.65","210,482.03","1,057.98","11,323.87","2,200.43",772.3968232,"406,531.77",7.77,,,,,38.94,,,
2006,May,6.68,-,8.11,6,,0,0,0,"42,427.00",4.36,1.31,13.95,14.02,"128,210.65","211,961.76","1,057.98","5,645.16","2,257.88",356.4952226,"406,493.69",6.95,,,,,39.06,,,
2006,June,6.39,-,6.41,6,9.75,0,0,0,"35,667.00",4.35,1.27,13.79,13.78,"130,308.36","218,357.33","1,057.98","5,201.83","2,290.60",622.8586017,"431,236.83",6.33,,,,,39.05,,,
2006,July,5.73,-,5.74,6,9.75,0,0,0,"41,065.00",4.31,1.32,13.72,13.48,"131,808.81","220,556.58","1,057.98","7,432.42","2,305.13","1,674.80","430,667.84",5.73,,,,,38.97,,,
2006,August,5.94,-,5.66,6,10,0,0,0,"30,586.68",4.08,1.41,13.64,13.43,"133,720.71","223,527.83","1,057.98","7,890.07","2,342.69",-575.9616384,"431,095.63",5.57,,,,,39.27,,,
2006,September,6.16,-,6.02,6,10,0,0,0,"28,840.55",4.04,1.36,13.54,13.42,"134,083.76","229,950.32","1,057.98","3,668.91","2,373.18",457.3163264,"422,647.93",5.7,,,,,39.45,,,
2006,October,6.23,-,6.08,6,10,0,0,0,"29,632.66",4.11,1.35,14.01,13.94,"133,103.96","233,319.00","1,057.98","5,232.75","2,415.48",394.8559811,"424,414.09",5.94,,,,,39.6,,,
2006,November,6.33,-,6.18,6,10,0,0,0,"31,402.87",4.15,1.37,13.93,13.96,"132,391.05","236,042.80","1,057.98","8,855.36","2,472.73",214.9265754,"424,933.07",6.12,,,,,39.75,,,
2006,December,6.34,-,6.34,6,10,0,0,0,"34,458.82",4.11,1.35,13.74,13.91,"132,227.85","237,988.05",754.7043,"11,323.86","2,501.97",324.7898109,"407,742.55",6.39,,,,,40.59,,"1,622,565",6.5
